jurisdiction,topic,source_url,accessed_date,use
Wales,Current model written statements,https://www.gov.wales/renting-homes-model-written-statements,2026-07-28,"Fixed-term and periodic terminology and current model documents"
Wales,June 2026 amendments,https://www.gov.wales/renting-homes-miscellaneous-amendments-wales-regulations-2026-guidance-landlords-html,2026-07-28,"Current amendment context"
Wales,Standard occupation contract guidance,https://www.gov.wales/standard-occupation-contracts-guidance-html,2026-07-28,"Written-statement terminology and model-use context"
Scotland,Model Private Residential Tenancy,https://www.gov.scot/publications/private-residential-tenancy-model-agreement/,2026-07-28,"PRT terminology mandatory terms and supporting-notes duty"
Scotland,Model documents,https://www.gov.scot/publications/private-residential-tenancy-model-agreement/documents/,2026-07-28,"Current model agreement and supporting documents"
Northern Ireland,Tenancy Information Notice,https://www.communities-ni.gov.uk/articles/section-1-2-private-tenancies-northern-ireland-act-2022,2026-07-28,"Prescribed notice completion and 28-day delivery requirement"
Northern Ireland,Electrical safety standards,https://www.communities-ni.gov.uk/articles/electrical-safety-standards-private-tenancies-regulations-northern-ireland-2024,2026-07-28,"EICR timing and tenant-copy requirements"
Northern Ireland,Rent regulation and payment provisions,https://www.communities-ni.gov.uk/articles/sections-7-12-private-tenancies-act-northern-ireland-2022,2026-07-28,"Current rent-regulation context"
Northern Ireland,Landlord registration,https://www.nidirect.gov.uk/articles/landlord-registration-process,2026-07-28,"Registration requirement and renewal context"
England,Current private-renting rent-arrears route,https://www.gov.uk/private-renting/rent-arrears,2026-07-28,"Post-1-May-2026 assured periodic and Section 8 route context"
England,Pre-1-May-2026 possession notices,https://www.gov.uk/guidance/giving-notice-of-possession-to-tenants-before-1-may-2026,2026-07-28,"Legacy Section 21 and transitional notice context"
