route,viewport,width,status,title,h1,h1_count,main_present,main_text_length,contextual_offer_present,visible_mojibake,horizontal_overflow,console_error_count,network_failure_count,accessibility_issue_count,screenshot,result
/tools/hmo-license-checker,desktop,1440,304,HMO Licence Checker | England Landlords,HMO License Checker,1,yes,6240,no,no,no,0,0,1,screenshots/tools-hmo-license-checker-desktop.png,review
/tools/rent-arrears-calculator,desktop,1440,304,Rent Arrears Calculator | UK Landlords,Rent Arrears Calculator,1,yes,5128,yes,no,no,0,0,2,screenshots/tools-rent-arrears-calculator-desktop.png,review
/form-3-section-8,desktop,1440,304,Serve Form 3A Section 8 Notice Correctly | England 2026,Serve Form 3A correctly before the case loses time,1,yes,15753,no,no,no,0,0,1,screenshots/form-3-section-8-desktop.png,review
/eviction-cost-uk,desktop,1440,304,How Much Does Eviction Cost UK? Full Breakdown (2026),Eviction Cost UK Guide,1,yes,8144,yes,no,no,1,0,1,screenshots/eviction-cost-uk-desktop.png,review
/how-to-rent-guide,desktop,1440,304,How to Rent Guide 2026: Compliance Check Before Notice,How to Rent compliance check before notice or tenancy,1,yes,7135,yes,no,no,0,0,1,screenshots/how-to-rent-guide-desktop.png,review
/n5-n119-possession-claim,desktop,1440,304,Prepare N5 and N119 Court Papers After Notice,Prepare N5 and N119 court papers after notice,1,yes,18625,no,no,no,0,0,1,screenshots/n5-n119-possession-claim-desktop.png,review
/money-claim-carpet-damage,desktop,1440,304,"Claim for Carpet Damage from Tenant 2026 | Stains, Burns & Replacement",Money Claim for Carpet Damage Costs,1,yes,7662,yes,no,no,0,0,1,screenshots/money-claim-carpet-damage-desktop.png,review
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,desktop,1440,304,Ground 1A Eviction: Selling the Property | LandlordHeaven,How to Evict a Tenant Using Ground 1A - Selling the Property,1,yes,6735,yes,no,no,0,0,1,screenshots/section-8-grounds-how-to-evict-a-tenant-using-ground-1a-desktop.png,review
/blog/how-to-write-letter-before-action-unpaid-rent,desktop,1440,304,How to Write a Letter Before Action for Unpaid Rent (,How to Write a Letter Before Action for Unpaid Rent (,1,yes,12336,no,no,no,1,0,1,screenshots/blog-how-to-write-letter-before-action-unpaid-rent-desktop.png,review
/blog/england-bailiff-eviction,desktop,1440,304,Bailiff Eviction Day - What to Expect (England Guide ),Bailiff Eviction Day - What to Expect (England Guide ),1,yes,17127,no,no,no,1,0,1,screenshots/blog-england-bailiff-eviction-desktop.png,review
/blog/england-section-8-ground-1,desktop,1440,304,Section 8 Ground 1 Explained: Landlord Returning to,Section 8 Ground 1 Explained: Landlord Returning to,1,yes,17600,no,no,no,1,0,1,screenshots/blog-england-section-8-ground-1-desktop.png,review
/blog/england-county-court-forms,desktop,1440,304,"County Court Eviction Forms Explained - N5, N5B, N119","County Court Eviction Forms Explained - N5, N5B, N119",1,yes,16492,no,no,no,1,0,1,screenshots/blog-england-county-court-forms-desktop.png,review
/blog/how-long-does-eviction-take-uk,desktop,1440,304,How Long Does Eviction Take in the UK? Complete Timeline,How Long Does Eviction Take in the UK? Complete Timeline,1,yes,14465,no,no,no,1,0,1,screenshots/blog-how-long-does-eviction-take-uk-desktop.png,review
/blog/england-section-8-ground-10-11,desktop,1440,304,Section 8 Grounds 10 and 11 | Rent Arrears Guide (England),Section 8 Grounds 10 and 11 | Rent Arrears Guide (England),1,yes,19696,no,no,no,1,0,1,screenshots/blog-england-section-8-ground-10-11-desktop.png,review
/blog/england-money-claim-online,desktop,1440,304,Money Claim Online (MCOL) for Landlords: Rent Arrears Guide,Money Claim Online (MCOL) for Landlords: Rent Arrears Guide,1,yes,18750,no,no,no,1,0,1,screenshots/blog-england-money-claim-online-desktop.png,review
/blog/england-section-8-ground-14,desktop,1440,304,Section 8 Ground 14 Explained: Antisocial Behaviour,Section 8 Ground 14 Explained: Antisocial Behaviour,1,yes,20570,no,no,no,1,0,1,screenshots/blog-england-section-8-ground-14-desktop.png,review
/blog/england-section-8-ground-12,desktop,1440,304,Section 8 Ground 12 Explained: Breach of Tenancy Terms,Section 8 Ground 12 Explained: Breach of Tenancy Terms,1,yes,21413,no,no,no,1,0,1,screenshots/blog-england-section-8-ground-12-desktop.png,review
/blog/uk-guarantor-agreements-guide,desktop,1440,304,UK Guarantor Agreements - Complete Landlord Guide,UK Guarantor Agreements - Complete Landlord Guide,1,yes,12950,no,no,no,1,0,1,screenshots/blog-uk-guarantor-agreements-guide-desktop.png,review
/blog/how-to-serve-eviction-notice,desktop,1440,304,How to Serve an Eviction Notice in England After May Guide,How to Serve an Eviction Notice in England After May Guide,1,yes,14424,no,no,no,1,0,1,screenshots/blog-how-to-serve-eviction-notice-desktop.png,review
/products/notice-only,desktop,1440,304,Serve a Section 8 Form 3A Notice | £39.99,Create a Section 8 eviction notice and service file,1,yes,14878,no,no,no,0,0,1,screenshots/products-notice-only-desktop.png,review
