route,viewport,width,status,title,h1,h1_count,main_present,main_text_length,contextual_offer_present,visible_mojibake,horizontal_overflow,console_error_count,network_failure_count,accessibility_issue_count,screenshot,result
/tools/hmo-license-checker,mobile,390,200,HMO Licence Checker | England Landlords,HMO License Checker,1,yes,6240,no,no,no,0,0,1,screenshots/tools-hmo-license-checker-mobile.png,review
/tools/rent-arrears-calculator,mobile,390,200,Rent Arrears Calculator | UK Landlords,Rent Arrears Calculator,1,yes,5128,yes,no,no,0,0,2,screenshots/tools-rent-arrears-calculator-mobile.png,review
/form-3-section-8,mobile,390,200,Serve Form 3A Section 8 Notice Correctly | England 2026,Serve Form 3A correctly before the case loses time,1,yes,15726,no,no,no,0,0,1,screenshots/form-3-section-8-mobile.png,review
/eviction-cost-uk,mobile,390,200,How Much Does Eviction Cost UK? Full Breakdown (2026),Eviction Cost UK Guide,1,yes,8117,yes,no,no,1,0,1,screenshots/eviction-cost-uk-mobile.png,review
/how-to-rent-guide,mobile,390,200,How to Rent Guide 2026: Compliance Check Before Notice,How to Rent compliance check before notice or tenancy,1,yes,7108,yes,no,no,0,0,1,screenshots/how-to-rent-guide-mobile.png,review
/n5-n119-possession-claim,mobile,390,200,Prepare N5 and N119 Court Papers After Notice,Prepare N5 and N119 court papers after notice,1,yes,18598,no,no,no,0,0,1,screenshots/n5-n119-possession-claim-mobile.png,review
/money-claim-carpet-damage,mobile,390,200,"Claim for Carpet Damage from Tenant 2026 | Stains, Burns & Replacement",Money Claim for Carpet Damage Costs,1,yes,7635,yes,no,no,0,0,1,screenshots/money-claim-carpet-damage-mobile.png,review
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,mobile,390,200,Ground 1A Eviction: Selling the Property | LandlordHeaven,How to Evict a Tenant Using Ground 1A - Selling the Property,1,yes,6735,yes,no,no,0,0,1,screenshots/section-8-grounds-how-to-evict-a-tenant-using-ground-1a-mobile.png,review
/blog/how-to-write-letter-before-action-unpaid-rent,mobile,390,200,How to Write a Letter Before Action for Unpaid Rent (,How to Write a Letter Before Action for Unpaid Rent (,1,yes,12087,no,no,no,1,0,1,screenshots/blog-how-to-write-letter-before-action-unpaid-rent-mobile.png,review
/blog/england-bailiff-eviction,mobile,390,200,Bailiff Eviction Day - What to Expect (England Guide ),Bailiff Eviction Day - What to Expect (England Guide ),1,yes,16878,no,no,no,0,0,1,screenshots/blog-england-bailiff-eviction-mobile.png,review
