route,viewport,visible_mojibake,body_text_length,contextual_offer_text,result
/tools/hmo-license-checker,mobile,no,6981,,pass
/tools/hmo-license-checker,tablet,no,6981,,pass
/tools/hmo-license-checker,desktop,no,7085,,pass
/tools/rent-arrears-calculator,mobile,no,5869,"Relevant next stepReady to turn the arrears into a clear claim file?When the debt is quantified, prepare the arrears record, pre-action letter and county court claim documents without starting the legal process from scratch.Fixed price £28.99. Preview available before payment.• Organise the debt and payment history clearly.• Prepare the claim narrative and supporting documents.• Preview the available output before payment.Prepare my money claimKeep reading this guide",pass
/tools/rent-arrears-calculator,tablet,no,5869,"Relevant next stepReady to turn the arrears into a clear claim file?When the debt is quantified, prepare the arrears record, pre-action letter and county court claim documents without starting the legal process from scratch.Fixed price £28.99. Preview available before payment.• Organise the debt and payment history clearly.• Prepare the claim narrative and supporting documents.• Preview the available output before payment.Prepare my money claimKeep reading this guide",pass
/tools/rent-arrears-calculator,desktop,no,5973,"Relevant next stepReady to turn the arrears into a clear claim file?When the debt is quantified, prepare the arrears record, pre-action letter and county court claim documents without starting the legal process from scratch.Fixed price £28.99. Preview available before payment.• Organise the debt and payment history clearly.• Prepare the claim narrative and supporting documents.• Preview the available output before payment.Prepare my money claimKeep reading this guide",pass
/form-3-section-8,mobile,no,16468,,pass
/form-3-section-8,tablet,no,16468,,pass
/form-3-section-8,desktop,no,16599,,pass
/eviction-cost-uk,mobile,no,8859,"Relevant next stepHeading toward court? Prepare the possession fileWhen the case moves toward court, keep the notice, possession forms, arrears schedule and filing checks consistent through enforcement.Fixed price £69.99. Preview available before payment.• Keep notice and claim details consistent.• Prepare the possession forms and filing checks.• See what the pack includes before starting.Prepare my court packKeep reading this guide",pass
/eviction-cost-uk,tablet,no,8859,"Relevant next stepHeading toward court? Prepare the possession fileWhen the case moves toward court, keep the notice, possession forms, arrears schedule and filing checks consistent through enforcement.Fixed price £69.99. Preview available before payment.• Keep notice and claim details consistent.• Prepare the possession forms and filing checks.• See what the pack includes before starting.Prepare my court packKeep reading this guide",pass
/eviction-cost-uk,desktop,no,8990,"Relevant next stepHeading toward court? Prepare the possession fileWhen the case moves toward court, keep the notice, possession forms, arrears schedule and filing checks consistent through enforcement.Fixed price £69.99. Preview available before payment.• Keep notice and claim details consistent.• Prepare the possession forms and filing checks.• See what the pack includes before starting.Prepare my court packKeep reading this guide",pass
/how-to-rent-guide,mobile,no,7850,"Relevant next stepSetting up the tenancy after checking the guidance?When the next task is recording the tenancy terms, choose the current England agreement route that matches the property and occupiers.Fixed price £14.99. Preview available before payment.• Choose the appropriate agreement route.• Record the tenancy terms clearly.• Preview the supported agreement before payment.Create my tenancy agreementKeep reading this guide",pass
/how-to-rent-guide,tablet,no,7850,"Relevant next stepSetting up the tenancy after checking the guidance?When the next task is recording the tenancy terms, choose the current England agreement route that matches the property and occupiers.Fixed price £14.99. Preview available before payment.• Choose the appropriate agreement route.• Record the tenancy terms clearly.• Preview the supported agreement before payment.Create my tenancy agreementKeep reading this guide",pass
/how-to-rent-guide,desktop,no,7981,"Relevant next stepSetting up the tenancy after checking the guidance?When the next task is recording the tenancy terms, choose the current England agreement route that matches the property and occupiers.Fixed price £14.99. Preview available before payment.• Choose the appropriate agreement route.• Record the tenancy terms clearly.• Preview the supported agreement before payment.Create my tenancy agreementKeep reading this guide",pass
/n5-n119-possession-claim,mobile,no,19340,,pass
