route,viewport,width,status,title,h1,h1_count,main_present,main_text_length,contextual_offer_present,visible_mojibake,horizontal_overflow,console_error_count,network_failure_count,accessibility_issue_count,screenshot,result
/tools/hmo-license-checker,mobile,390,200,HMO Licence Checker | England Landlords,HMO License Checker,1,yes,6240,no,no,no,0,0,1,screenshots/tools-hmo-license-checker-mobile.png,review
/tools/hmo-license-checker,tablet,768,304,HMO Licence Checker | England Landlords,HMO License Checker,1,yes,6240,no,no,no,0,0,1,screenshots/tools-hmo-license-checker-tablet.png,review
/tools/hmo-license-checker,desktop,1440,304,HMO Licence Checker | England Landlords,HMO License Checker,1,yes,6240,no,no,no,0,0,1,screenshots/tools-hmo-license-checker-desktop.png,review
/tools/rent-arrears-calculator,mobile,390,200,Rent Arrears Calculator | UK Landlords,Rent Arrears Calculator,1,yes,5128,yes,no,no,0,0,2,screenshots/tools-rent-arrears-calculator-mobile.png,review
/tools/rent-arrears-calculator,tablet,768,304,Rent Arrears Calculator | UK Landlords,Rent Arrears Calculator,1,yes,5128,yes,no,no,0,0,2,screenshots/tools-rent-arrears-calculator-tablet.png,review
/tools/rent-arrears-calculator,desktop,1440,304,Rent Arrears Calculator | UK Landlords,Rent Arrears Calculator,1,yes,5128,yes,no,no,0,0,2,screenshots/tools-rent-arrears-calculator-desktop.png,review
/form-3-section-8,mobile,390,200,Serve Form 3A Section 8 Notice Correctly | England 2026,Serve Form 3A correctly before the case loses time,1,yes,15726,no,no,no,0,0,1,screenshots/form-3-section-8-mobile.png,review
/form-3-section-8,tablet,768,304,Serve Form 3A Section 8 Notice Correctly | England 2026,Serve Form 3A correctly before the case loses time,1,yes,15726,no,no,no,0,0,1,screenshots/form-3-section-8-tablet.png,review
/form-3-section-8,desktop,1440,304,Serve Form 3A Section 8 Notice Correctly | England 2026,Serve Form 3A correctly before the case loses time,1,yes,15753,no,no,no,0,0,1,screenshots/form-3-section-8-desktop.png,review
/eviction-cost-uk,mobile,390,200,How Much Does Eviction Cost UK? Full Breakdown (2026),Eviction Cost UK Guide,1,yes,8117,yes,no,no,1,0,1,screenshots/eviction-cost-uk-mobile.png,review
/eviction-cost-uk,tablet,768,304,How Much Does Eviction Cost UK? Full Breakdown (2026),Eviction Cost UK Guide,1,yes,8117,yes,no,no,1,0,1,screenshots/eviction-cost-uk-tablet.png,review
/eviction-cost-uk,desktop,1440,304,How Much Does Eviction Cost UK? Full Breakdown (2026),Eviction Cost UK Guide,1,yes,8144,yes,no,no,1,0,1,screenshots/eviction-cost-uk-desktop.png,review
/how-to-rent-guide,mobile,390,200,How to Rent Guide 2026: Compliance Check Before Notice,How to Rent compliance check before notice or tenancy,1,yes,7108,yes,no,no,0,0,1,screenshots/how-to-rent-guide-mobile.png,review
/how-to-rent-guide,tablet,768,304,How to Rent Guide 2026: Compliance Check Before Notice,How to Rent compliance check before notice or tenancy,1,yes,7108,yes,no,no,0,0,1,screenshots/how-to-rent-guide-tablet.png,review
/how-to-rent-guide,desktop,1440,304,How to Rent Guide 2026: Compliance Check Before Notice,How to Rent compliance check before notice or tenancy,1,yes,7135,yes,no,no,0,0,1,screenshots/how-to-rent-guide-desktop.png,review
/n5-n119-possession-claim,mobile,390,200,Prepare N5 and N119 Court Papers After Notice,Prepare N5 and N119 court papers after notice,1,yes,18598,no,no,no,0,0,1,screenshots/n5-n119-possession-claim-mobile.png,review
/n5-n119-possession-claim,tablet,768,304,Prepare N5 and N119 Court Papers After Notice,Prepare N5 and N119 court papers after notice,1,yes,18598,no,no,no,0,0,1,screenshots/n5-n119-possession-claim-tablet.png,review
