slug,category,tags,detected_topics,ctas_rendered_count,cta_labels,cta_urls,uses_missing_route,meaningful_ctas,recommended_ctas,jurisdiction_assumptions,notes
renters-reform-bill-what-landlords-need-to-know,Legal Updates,Renters Reform Bill; Section 21 Ban; Renters Rights Act; Landlord Law; Property Law 2026,Section 21,4,Section 21 Notice Template; Section 21 Validity Checker; Section 21 Notice Pack; View All Products,/section-21-notice-template; /tools/validators/section-21; /products/notice-only; /pricing,N,3,None needed,England,Good coverage
what-is-section-21-notice,Eviction Guides,Section 21; Eviction; No-Fault Eviction; Form 6A; Landlord Rights,Section 21,4,Section 21 Notice Template; Complete Eviction Pack; Section 21 Validity Checker; Section 21 Notice Pack,/section-21-notice-template; /products/complete-pack; /tools/validators/section-21; /products/notice-only,N,4,None needed,England,Good coverage
section-21-vs-section-8,Eviction Guides,Section 21; Section 8; Eviction; Rent Arrears; Landlord Rights,Section 21,4,Section 21 Notice Template; Section 8 Notice Template; Money Claim Pack; Section 21 Validity Checker,/section-21-notice-template; /section-8-notice-template; /products/money-claim; /tools/validators/section-21,N,4,None needed,England,Good coverage
how-to-serve-eviction-notice,Eviction Guides,Eviction Notice; Serving Notice; Form 6A; Proof of Service; Legal Process,Eviction,2,Complete Eviction Pack; View All Products,/products/complete-pack; /pricing,N,1,Add more context-specific CTAs,England,Limited CTA coverage
how-long-does-eviction-take-uk,Eviction Guides,Eviction Timeline; Court Process; Possession Order; Bailiff; Eviction Duration,Eviction,2,Complete Eviction Pack; View All Products,/products/complete-pack; /pricing,N,1,Add more context-specific CTAs,England,Limited CTA coverage
rent-arrears-eviction-guide,Eviction Guides,Rent Arrears; Section 8; Ground 8; Eviction; Debt Recovery,Section 8,4,Section 8 Notice Template; Money Claim Pack; Section 8 Grounds Checker; Rent Arrears Calculator,/section-8-notice-template; /products/money-claim; /tools/validators/section-8; /tools/rent-arrears-calculator,N,4,None needed,England,Good coverage
england-assured-shorthold-tenancy-guide,Tenancy Agreements,AST; Assured Shorthold Tenancy; England; Tenancy Agreement; Landlord Guide; Renters Rights Act,General,4,Section 21 Notice Template; Tenancy Agreement Generator; Section 21 Validity Checker; Tenancy Agreement Template,/section-21-notice-template; /products/ast; /tools/validators/section-21; /tenancy-agreement-template,N,4,None needed,England,Good coverage
england-section-21-process,Eviction Guides,Section 21; Eviction; England; No-Fault Eviction; Possession Order; Form 6A,Section 21,4,Section 21 Notice Template; Complete Eviction Pack; Section 21 Validity Checker; Section 21 Notice Pack,/section-21-notice-template; /products/complete-pack; /tools/validators/section-21; /products/notice-only,N,4,None needed,England,Good coverage
england-section-8-process,Eviction Guides,Section 8; Eviction; England; Possession Grounds; Rent Arrears; Housing Act 1988,Section 8,4,Section 8 Notice Template; Money Claim Pack; Section 8 Grounds Checker; Rent Arrears Calculator,/section-8-notice-template; /products/money-claim; /tools/validators/section-8; /tools/rent-arrears-calculator,N,4,None needed,England,Good coverage
england-section-8-ground-8,Eviction Guides,Section 8; Ground 8; Rent Arrears; Mandatory Eviction; England; Possession Order,Section 8,4,Section 8 Notice Template; Money Claim Pack; Section 8 Grounds Checker; Rent Arrears Calculator,/section-8-notice-template; /products/money-claim; /tools/validators/section-8; /tools/rent-arrears-calculator,N,4,None needed,England,Good coverage
england-accelerated-possession,Eviction,Accelerated Possession; Section 21; Eviction Process; Court Procedure; England,Section 21,4,Section 21 Notice Template; Complete Eviction Pack; Section 21 Validity Checker; Section 21 Notice Pack,/section-21-notice-template; /products/complete-pack; /tools/validators/section-21; /products/notice-only,N,4,None needed,England,Good coverage
england-standard-possession,Eviction,Standard Possession; Section 8; Court Hearing; Rent Arrears; Possession Order,Section 8,4,Section 8 Notice Template; Money Claim Pack; Section 8 Grounds Checker; Rent Arrears Calculator,/section-8-notice-template; /products/money-claim; /tools/validators/section-8; /tools/rent-arrears-calculator,N,4,None needed,England,Good coverage
england-section-8-ground-10-11,Eviction Grounds,Ground 10; Ground 11; Section 8; Rent Arrears; Discretionary Grounds,Section 8,4,Section 8 Notice Template; Money Claim Pack; Section 8 Grounds Checker; Rent Arrears Calculator,/section-8-notice-template; /products/money-claim; /tools/validators/section-8; /tools/rent-arrears-calculator,N,4,None needed,England,Good coverage
england-section-8-ground-14,Eviction Grounds,Ground 14; Antisocial Behaviour; Section 8; Nuisance; Eviction,Section 8,4,Section 8 Notice Template; Section 8 Grounds Checker; Complete Eviction Pack; View All Products,/section-8-notice-template; /tools/validators/section-8; /products/complete-pack; /pricing,N,3,None needed,England,Good coverage
england-section-8-ground-17,Eviction Grounds,Ground 17; False Statement; Tenant Fraud; Section 8; Eviction,Section 8,4,Section 8 Notice Template; Section 8 Grounds Checker; Complete Eviction Pack; View All Products,/section-8-notice-template; /tools/validators/section-8; /products/complete-pack; /pricing,N,3,None needed,England,Good coverage
england-section-8-ground-1,Eviction Grounds,Ground 1; Section 8; Landlord Occupation; Prior Notice; Eviction,Section 8,4,Section 8 Notice Template; Section 8 Grounds Checker; Complete Eviction Pack; View All Products,/section-8-notice-template; /tools/validators/section-8; /products/complete-pack; /pricing,N,3,None needed,England,Good coverage
